"id","user_id","user_path","setting_path","created_at","updated_at","tabs","view","theme","public_view"
"1","4","4/",,"2019-09-22 21:34:42","2019-09-22 21:34:42",NULL,"Timeline","default","Home"
"2","2","2/",,"2019-09-23 05:51:40","2019-09-23 05:51:40",NULL,"timeline","default","Home"
